file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\wait_notify\PaymentRunner.java,onlyTests.threads.wait_notify.PaymentRunner,main/1[java.lang.String[]],false,4,1,3,0,3,1,6,19,0,1,1,6,0,0,0,0,0,0,2,2,1,0,1,1,0,0,10,9,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_10\task_A_6\Runner.java,chapter_10.task_A_6.myComparator,"compare/2[java.lang.String,java.lang.String]",false,38,0,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\bariers\Auction.java,onlyTests.threads.bariers.Auction$Anonymous2,"compare/2[onlyTests.threads.bariers.Bid,onlyTests.threads.bariers.Bid]",false,29,1,1,0,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_7\task_A_12\Runner.java,chapter_7.task_A_12.Runner,main/1[java.lang.String[]],false,6,0,0,0,0,4,4,15,0,6,1,4,0,0,2,0,0,0,21,1,6,2,2,0,0,0,10,9,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\networkProgramms\ip\InetLogic.java,onlyTests.networkProgramms.ip.InetLogic,main/1[java.lang.String[]],false,7,0,0,0,0,2,4,16,0,3,1,4,0,0,0,0,1,0,6,0,6,4,1,0,0,0,14,9,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\bariers\Auction.java,onlyTests.threads.bariers.Auction$Anonymous1,run/0,false,14,2,4,0,4,1,4,4,0,1,0,4,0,0,0,0,0,0,3,0,1,1,0,0,0,0,4,1,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_12\task_A_2\Entity.java,chapter_12.task_A_2.Entity,getId/0,false,12,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_12\task_A_2\Entity.java,chapter_12.task_A_2.Entity,Entity/0,true,7,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_12\task_A_2\Entity.java,chapter_12.task_A_2.Entity,setId/1[int],false,15,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_12\task_A_2\Entity.java,chapter_12.task_A_2.Entity,Entity/1[int],true,9,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\simpleBD\Abonent.java,onlyTests.DB.simpleBD.Abonent,"Abonent/3[int,int,java.lang.String]",true,8,0,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\simpleBD\Abonent.java,onlyTests.DB.simpleBD.Abonent,getLastname/0,false,19,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\simpleBD\Abonent.java,onlyTests.DB.simpleBD.Abonent,setLastname/1[java.lang.String],false,22,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\simpleBD\Abonent.java,onlyTests.DB.simpleBD.Abonent,getPhone/0,false,13,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
