file,class,method,variable,usage
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\dbHelper\Abonent.java,onlyTests.DB.dbHelper.Abonent,"Abonent/3[int,int,java.lang.String]",phone,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\dbHelper\Abonent.java,onlyTests.DB.dbHelper.Abonent,"Abonent/3[int,int,java.lang.String]",id,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\dbHelper\Abonent.java,onlyTests.DB.dbHelper.Abonent,"Abonent/3[int,int,java.lang.String]",lastname,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\networkProgramms\client_Server\NetServerThread.java,onlyTests.networkProgramms.client_Server.ServerThread,ServerThread/1[java.net.Socket],s,3
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\networkProgramms\client_Server\NetServerThread.java,onlyTests.networkProgramms.client_Server.ServerThread,run/0,str,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\networkProgramms\client_Server\NetServerThread.java,onlyTests.networkProgramms.client_Server.ServerThread,run/0,e,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\networkProgramms\client_Server\NetServerThread.java,onlyTests.networkProgramms.client_Server.ServerThread,run/0,i,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\networkProgramms\client_Server\NetServerThread.java,onlyTests.networkProgramms.client_Server.ServerThread,disconnect/0,e,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_12\task_A_2\Film.java,chapter_12.task_A_2.Film,toString/0,formatForDateNow,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_12\task_A_2\Film.java,chapter_12.task_A_2.Film,setActors/1[java.util.ArrayList<chapter_12.task_A_2.Actor>],actors,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_12\task_A_2\Film.java,chapter_12.task_A_2.Film,"Film/5[int,java.lang.String,java.util.Date,java.lang.String,chapter_12.task_A_2.Actor]",actor,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_12\task_A_2\Film.java,chapter_12.task_A_2.Film,"Film/5[int,java.lang.String,java.util.Date,java.lang.String,chapter_12.task_A_2.Actor]",nameFilm,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_12\task_A_2\Film.java,chapter_12.task_A_2.Film,"Film/5[int,java.lang.String,java.util.Date,java.lang.String,chapter_12.task_A_2.Actor]",country,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_12\task_A_2\Film.java,chapter_12.task_A_2.Film,"Film/5[int,java.lang.String,java.util.Date,java.lang.String,chapter_12.task_A_2.Actor]",dateRelease,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_12\task_A_2\Film.java,chapter_12.task_A_2.Film,"Film/5[int,java.lang.String,java.util.Date,java.lang.String,chapter_12.task_A_2.Actor]",id,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_12\task_A_2\Film.java,chapter_12.task_A_2.Film,addActor/1[chapter_12.task_A_2.Actor],actor,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_12\task_A_2\Film.java,chapter_12.task_A_2.Film,setNameFilm/1[java.lang.String],nameFilm,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_12\task_A_2\Film.java,chapter_12.task_A_2.Film,setCountry/1[java.lang.String],country,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_12\task_A_2\Film.java,chapter_12.task_A_2.Film,setDateRelease/1[java.util.Date],dateRelease,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\atomic\Broker.java,onlyTests.threads.atomic.Broker,Broker/1[onlyTests.threads.atomic.Market],market,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\atomic\Broker.java,onlyTests.threads.atomic.Broker,run/0,e,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_11\task_A_4_bad\Client.java,chapter_11.task_A_4_bad.Client,setTimeCanWait/1[int],timeCanWait,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_11\task_A_4_bad\Client.java,chapter_11.task_A_4_bad.Client,setTimeSpeak/1[int],timeSpeak,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_11\task_A_4_bad\Client.java,chapter_11.task_A_4_bad.Client,equals/1[java.lang.Object],other,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_11\task_A_4_bad\Client.java,chapter_11.task_A_4_bad.Client,equals/1[java.lang.Object],obj,3
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_11\task_A_4_bad\Client.java,chapter_11.task_A_4_bad.Client,run/0,ie,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_11\task_A_4_bad\Client.java,chapter_11.task_A_4_bad.Client,"Client/3[int,int,int]",timeSpeak,2
