file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\patrones-master\11_Comando\src\main\java\com\sidlors\patterns\comando\Command.java,com.sidlors.patterns.comando.Command,execute/0,false,5,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\patrones-master\01_Polimorfismo\src\main\java\com\sidlors\patterns\polimorfismo\PruebaFormas.java,com.sidlors.patterns.polimorfismo.PruebaFormas,main/1[java.lang.String[]],false,7,2,3,0,3,1,2,5,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,9,0,false
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\Tarea.java,com.sidlors.patterns.composition.Tarea,"Tarea/3[java.lang.String,com.sidlors.patterns.composition.Responsable,int]",true,11,1,5,5,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,false
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\Tarea.java,com.sidlors.patterns.composition.Tarea,agregarItemTarea/1[com.sidlors.patterns.composition.ItemProyecto],false,17,1,2,2,0,2,2,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,false
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\Tarea.java,com.sidlors.patterns.composition.Tarea,getTiempo/0,false,24,1,2,1,1,2,1,7,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,10,1,0,false
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\Tarea.java,com.sidlors.patterns.composition.Tarea,imprimir/0,false,33,2,2,0,2,2,4,7,0,0,0,4,1,1,1,0,0,0,3,0,0,1,1,0,0,0,8,1,0,false
C:\patrones-master\14_Cadena\src\main\java\com\sidlors\patterns\chain\Aplicacion.java,com.sidlors.patterns.chain.Aplicacion,Aplicacion/0,true,5,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\patrones-master\14_Cadena\src\main\java\com\sidlors\patterns\chain\Aplicacion.java,com.sidlors.patterns.chain.Aplicacion,getAyuda/1[int],false,8,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,false
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\Proyecto.java,com.sidlors.patterns.composition.Proyecto,imprimir/0,false,35,2,4,1,3,2,5,7,0,0,0,5,2,1,1,0,0,0,2,0,0,1,1,0,0,0,8,1,0,false
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\Proyecto.java,com.sidlors.patterns.composition.Proyecto,getTiempo/0,false,26,1,2,1,1,2,1,7,1,1,0,1,0,0,1,0,0,0,0,1,2,0,1,0,0,0,8,1,0,false
